af_id	url	http_status	bytes	result	error
AF-A0A2R8YEH3-F1-model_v6	https://alphafold.ebi.ac.uk/files/AF-A0A2R8YEH3-F1-model_v6.bcif	200	150253	downloaded	-
AF-A1L157-F1-model_v6	https://alphafold.ebi.ac.uk/files/AF-A1L157-F1-model_v6.bcif	200	137273	downloaded	-
AF-A6NKD2-F1-model_v6	https://alphafold.ebi.ac.uk/files/AF-A6NKD2-F1-model_v6.bcif	200	152814	downloaded	-
AF-O75821-F1-model_v6	https://alphafold.ebi.ac.uk/files/AF-O75821-F1-model_v6.bcif	200	155567	downloaded	-
AF-P02647-F1-model_v6	https://alphafold.ebi.ac.uk/files/AF-P02647-F1-model_v6.bcif	200	142069	downloaded	-
AF-P31946-F1-model_v6	https://alphafold.ebi.ac.uk/files/AF-P31946-F1-model_v6.bcif	200	134868	downloaded	-
AF-P42574-F1-model_v6	https://alphafold.ebi.ac.uk/files/AF-P42574-F1-model_v6.bcif	200	143541	downloaded	-
AF-Q5VST6-F1-model_v6	https://alphafold.ebi.ac.uk/files/AF-Q5VST6-F1-model_v6.bcif	200	146007	downloaded	-
AF-Q6P2I7-F1-model_v6	https://alphafold.ebi.ac.uk/files/AF-Q6P2I7-F1-model_v6.bcif	200	143212	downloaded	-
AF-Q6P9F5-F1-model_v6	https://alphafold.ebi.ac.uk/files/AF-Q6P9F5-F1-model_v6.bcif	200	140210	downloaded	-
AF-Q6PID6-F1-model_v6	https://alphafold.ebi.ac.uk/files/AF-Q6PID6-F1-model_v6.bcif	200	139853	downloaded	-
AF-Q7RTY3-F1-model_v6	https://alphafold.ebi.ac.uk/files/AF-Q7RTY3-F1-model_v6.bcif	200	140413	downloaded	-
AF-Q7Z4M0-F1-model_v6	https://alphafold.ebi.ac.uk/files/AF-Q7Z4M0-F1-model_v6.bcif	200	140917	downloaded	-
AF-Q8NGE8-F1-model_v6	https://alphafold.ebi.ac.uk/files/AF-Q8NGE8-F1-model_v6.bcif	200	152250	downloaded	-
AF-Q8NH60-F1-model_v6	https://alphafold.ebi.ac.uk/files/AF-Q8NH60-F1-model_v6.bcif	200	151561	downloaded	-
AF-Q9BUN8-F1-model_v6	https://alphafold.ebi.ac.uk/files/AF-Q9BUN8-F1-model_v6.bcif	200	139205	downloaded	-
AF-Q9BZM5-F1-model_v6	https://alphafold.ebi.ac.uk/files/AF-Q9BZM5-F1-model_v6.bcif	200	135260	downloaded	-
AF-Q9NPI5-F1-model_v6	https://alphafold.ebi.ac.uk/files/AF-Q9NPI5-F1-model_v6.bcif	200	133144	downloaded	-
AF-Q9NYW2-F1-model_v6	https://alphafold.ebi.ac.uk/files/AF-Q9NYW2-F1-model_v6.bcif	200	153312	downloaded	-
AF-Q9Y576-F1-model_v6	https://alphafold.ebi.ac.uk/files/AF-Q9Y576-F1-model_v6.bcif	200	157894	downloaded	-
