AF-Q6PID6-F1-model_v4	87fc9e46181138b5956c314dadcc82f0	262	1	41-189	0.59912
AF-Q9NYW2-F1-model_v4	1b3b3040d23ea38ee282b6c2bcb0e6dd	309	2	1-148,149-160_176-309	0.80004
AF-Q9Y576-F1-model_v4	7bcfb38f022f04160ee5005da289f5ee	335	2	37-174,191-267_279-335	0.70901
AF-Q5VST6-F1-model_v4	c733db839784c558d4cfda994bacb110	288	1	78-288	0.80852
AF-Q6P2I7-F1-model_v4	d188fc92fe9956b1f98a919b16b4061b	272	2	1-39,99-272	0.71694
AF-Q9BUN8-F1-model_v4	e80c39371c901669410972e41ba2b50f	251	1	1-213	0.84462
AF-A6NKD2-F1-model_v4	3174d51985e3639f79419d8598217518	308	1	156-290	0.49958
AF-O75821-F1-model_v4	c9692cbaa44f5808cb0e96685a87e652	320	2	16-31_48-125,236-320	0.46812
AF-P42574-F1-model_v4	cd9050995bb3aa9f42ca5d1eedd10b2d	277	1	44-167_188-277	0.66869
AF-Q7RTY3-F1-model_v4	05557cf23d0e5ccdf2d35183d087d7da	260	2	1-101_220-237,102-219	0.91154
AF-Q9BZM5-F1-model_v4	abbdb3cb8809ba994efdb07d94f7995e	246	1	30-203	0.68825
AF-Q9NPI5-F1-model_v4	ad06ec33083d224c11ebe0f10f3103c0	230	1	1-200	0.86957
AF-A1L157-F1-model_v4	ab63df12971e6813b64e4508d3163b9f	253	2	1-118_221-253,119-220	0.96443
AF-P31946-F1-model_v4	c82f2efd57f939ee3c4e571708dd31a8	246	2	1-139,140-235	0.8728
AF-Q8NGE8-F1-model_v4	00b1c8eb307199c239461134ca27471c	314	2	9-191,192-296	0.64416
AF-P02647-F1-model_v4	6d51a70cfc58312af230a4388cb02416	267	2	67-126,127-264	0.54947
AF-Q6P9F5-F1-model_v4	a12ea33380ff605b5e03749eeaae1b75	258	3	12-69,70-131,132-155_181-225	0.69409
AF-A0A2R8YEH3-F1-model_v4	35ee439402316fd60a426d041d554a7b	307	2	11-189_283-307,190-282	0.80654
AF-Q7Z4M0-F1-model_v4	151a840ebb8246ef9120f9efe920f608	266	1	17-32_49-150	0.60902
AF-Q8NH60-F1-model_v4	f1d107a11ba749fd0bf09cb0b1c694f8	311	2	15-110_135-148_169-193,111-134_149-168_194-311	0.72283
